n,o,_,t,o,p,i,c, ,=, ,8
T,o,p,i,c, ,0,:
주소,86433.83858371495
입력,59643.28984671691
부여,44470.85323293163
건물,42571.19966342784
도로명,39857.43688679822
번호,35461.3141107365
표기,25056.651470552893
정비,24468.918815805508
검색,22638.427876622
자료,16816.616961251384
조회,15319.090886356114
도로명주소,15125.81676063717
지역,14964.823702456022
대상,13038.863703811165
선택,12300.663142986417
신청,12266.690461940078
교차로,11423.02532257555
정보,10589.009270225046
내용,10228.783322816327
시군,9497.818333744082
대장,8219.91997494558
이력,8045.056851402363
민원,8006.678958783515
출력,7599.677941386531
부분,7529.361625519417
코드,7490.983820983677
영문,7130.23383023175
관리,6458.843155246848
기준,6360.840062747044
폐지,6172.588017477382
집합,6076.289376939344
작성,5426.24547784826
시도,5364.182621273144
접수,5303.663859096509
항목,4912.787806098866
건축물대장,4817.465188362854
행정동,4628.529586935731
법정동,4610.479476759204
참고,4503.309136458781
개별,4382.364319829113
통보,4369.971503043978
호수,3834.6635730393837
검수,3739.4531158955806
사이트,3738.30840801982
이상,3638.4443518458324
클릭,3561.3118301401078
건물번호,3334.8006534716487
진행,3327.830806509408
기재,3294.002298661817
작업,3250.341218020514
구분,3241.785366032168
자치,3225.633831553665
단체,3091.243476986436
목록,3002.2277523571424
동일,2994.1539641270197
초기,2879.7891903842774
실제,2879.1217592535413
때문,2806.210978051199
행정,2795.5619706143266
정상,2770.010176201712
현황,2751.2378393865256
조사,2703.119347621149
지하,2695.1659340151896
제외,2639.6074673276307
주민,2577.7763753173003
신규,2574.2616963701703
동명,2547.8947942896475
숫자,2444.0039608304505
실적,2360.300412544187
정정,2345.4835602611743
필요,2295.767267085096
영역,2273.3065793621845
홈페이지,2189.3771061575285
현장,2180.075237882877
업무,2145.941239425144
카이스,2145.567179128501
한글,2071.1991656954883
리스트,2001.774121379576
농협,2000.0654790294375
민원인,1952.168121463439
버튼,1926.7804637055503
고지문,1918.2352002409964
메뉴,1906.320400300633
시스템,1856.894144876569
소유자,1794.9769401871417
담당자,1781.9681796049558
누락,1762.1372888350663
화면,1760.4344731551525
버퍼,1749.489975032792
상담원,1702.448148070721
조건,1665.9726222916458
신청서,1633.6777262616727
통화,1585.502111475283
기본,1559.222362471306
도면,1541.8306873414733
광장,1524.018454726519
검사,1486.2745198791151
일련번호,1472.1805264056886
포함,1449.4349049381854
기존,1422.1712378493476
T,o,p,i,c, ,1,:
건물,137153.7398924774
변경,100432.20022695485
수정,42434.52544934198
명칭,21319.233669308785
도로명주소,20888.120389933083
삭제,19831.985156695235
대상,18979.503891835186
반영,17003.042484908194
